timestamp,id,success,client_type,target_addr,domain,latency_ms
2025-06-26T22:44:57.770348388Z,558,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.770428511Z,877,true,malicioso,dns_udp:53,example.com.,88
2025-06-26T22:44:57.771347506Z,972,true,malicioso,dns_udp:53,example.com.,91
2025-06-26T22:44:57.771410177Z,971,true,malicioso,dns_udp:53,example.com.,92
2025-06-26T22:44:57.771444024Z,1048,true,malicioso,dns_udp:53,example.com.,95
2025-06-26T22:44:57.771473774Z,773,true,malicioso,dns_udp:53,example.com.,89
2025-06-26T22:44:57.771529494Z,350,true,malicioso,dns_udp:53,example.com.,97
2025-06-26T22:44:57.771560752Z,179,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.771611816Z,270,true,malicioso,dns_udp:53,example.com.,102
2025-06-26T22:44:57.771643352Z,132,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.771674103Z,291,true,malicioso,dns_udp:53,example.com.,102
2025-06-26T22:44:57.771703148Z,131,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.77175037Z,196,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.771780109Z,24,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.771812257Z,140,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.771954165Z,222,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.771986922Z,23,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772015409Z,130,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772045446Z,208,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772074799Z,22,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772104617Z,178,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772133281Z,21,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.77216313Z,195,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772191517Z,37,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772223396Z,20,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772252016Z,221,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772282806Z,19,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772324864Z,18,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772357577Z,1502,true,malicioso,dns_udp:53,example.com.,69
2025-06-26T22:44:57.772386227Z,860,true,malicioso,dns_udp:53,example.com.,100
2025-06-26T22:44:57.772417372Z,509,true,malicioso,dns_udp:53,example.com.,101
2025-06-26T22:44:57.772446324Z,158,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.772475787Z,546,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772508357Z,1454,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.772539439Z,200,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772568665Z,415,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772604277Z,330,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772635306Z,242,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772667111Z,359,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772696468Z,704,true,malicioso,dns_udp:53,example.com.,101
2025-06-26T22:44:57.77273563Z,1518,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.772768482Z,182,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772808327Z,395,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.7728396Z,368,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.772870542Z,947,true,malicioso,dns_udp:53,example.com.,101
2025-06-26T22:44:57.772899858Z,127,true,malicioso,dns_udp:53,example.com.,104
2025-06-26T22:44:57.7729299Z,1609,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.772958696Z,868,true,malicioso,dns_udp:53,example.com.,97
2025-06-26T22:44:57.772988445Z,440,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.773018911Z,650,true,malicioso,dns_udp:53,example.com.,101
2025-06-26T22:44:57.773152864Z,883,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.773199886Z,388,true,malicioso,dns_udp:53,example.com.,103
2025-06-26T22:44:57.773231839Z,605,true,malicioso,dns_udp:53,example.com.,101
2025-06-26T22:44:57.773261421Z,495,true,malicioso,dns_udp:53,example.com.,94
2025-06-26T22:44:57.796045021Z,1071,true,malicioso,dns_udp:53,example.com.,65
2025-06-26T22:44:57.79605211Z,341,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796103329Z,897,true,malicioso,dns_udp:53,example.com.,71
2025-06-26T22:44:57.796129092Z,1070,true,malicioso,dns_udp:53,example.com.,65
2025-06-26T22:44:57.796145798Z,417,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796162092Z,397,true,malicioso,dns_udp:53,example.com.,74
2025-06-26T22:44:57.796188108Z,613,true,malicioso,dns_udp:53,example.com.,73
2025-06-26T22:44:57.796202569Z,552,true,malicioso,dns_udp:53,example.com.,73
2025-06-26T22:44:57.796215621Z,948,true,malicioso,dns_udp:53,example.com.,72
2025-06-26T22:44:57.79623046Z,129,true,malicioso,dns_udp:53,example.com.,76
